Date,Product,Quantity,Price
2025-11-15,Lenovo Tablet,6,109257.06
2025-11-28,Xiaomi Mi 11 Mobile,2,128128.56
2025-11-25,Sony Noise-Cancelling Headphones,10,104403.06
2025-11-06,Sony Noise-Cancelling Headphones,7,55787.98
2025-11-28,Lenovo Tablet,8,143384.99
2025-11-08,Bajaj Mixer Grinder,2,60286.60
2025-11-16,LG Smart Refrigerator,10,16567.17
2025-11-16,Philips Air Purifier,8,140888.61
2025-11-11,Samsung 55-inch LED TV,4,77478.34
2025-11-10,Lenovo Tablet,1,97513.02
2025-11-15,Bosch Dishwasher,5,63836.25
2025-11-02,Xiaomi Mi 11 Mobile,5,88438.06
2025-11-17,HP Pavilion Laptop,4,34532.91
2025-11-25,Philips Air Purifier,5,16784.51
2025-11-27,Samsung 55-inch LED TV,8,47334.91
2025-11-27,Panasonic Microwave Oven,1,124256.38
2025-11-29,Apple iPhone 15,6,32172.02
2025-11-29,Dell Inspiron Laptop,10,45169.43
2025-11-23,LG Air Conditioner,3,69231.80
2025-11-07,Xiaomi Mi 11 Mobile,2,59429.06
2025-11-14,OnePlus Nord CE 5G,5,10964.61
2025-11-05,Samsung Galaxy Watch,8,59992.80
2025-11-22,Whirlpool Washing Machine,8,102703.93
2025-11-19,Panasonic Microwave Oven,8,76581.85
2025-11-22,Sony Noise-Cancelling Headphones,7,66177.33
2025-11-19,Xiaomi Mi 11 Mobile,2,5822.61
2025-11-08,Boat Bluetooth Speaker,1,53438.69
2025-11-02,HP Pavilion Laptop,10,132041.41
2025-11-23,Xiaomi Mi 11 Mobile,6,36685.51
2025-11-09,Dell Inspiron Laptop,3,116422.73
2025-11-11,LG Air Conditioner,6,50217.80
2025-11-13,Haier Deep Freezer,8,24118.74
2025-11-28,OnePlus Nord CE 5G,9,11663.49
2025-11-18,LG Smart Refrigerator,3,122478.50
2025-11-30,Canon DSLR Camera,5,120234.29
2025-11-28,Panasonic Microwave Oven,8,29374.51
2025-11-05,LG Smart Refrigerator,3,40987.68
2025-11-14,Lenovo Tablet,8,107467.65
2025-11-09,Xiaomi Mi 11 Mobile,8,20365.47
2025-11-15,Dell Inspiron Laptop,1,61862.77
2025-11-28,Dell Inspiron Laptop,5,117055.11
2025-11-14,Dell Inspiron Laptop,3,107336.74
2025-11-28,LG Air Conditioner,7,107123.22
2025-11-17,Xiaomi Mi 11 Mobile,4,117668.76
2025-11-06,Apple iPhone 15,6,140095.52
2025-11-21,LG Air Conditioner,10,62131.02
2025-11-11,Philips Air Purifier,7,8391.38
2025-11-12,Sony Noise-Cancelling Headphones,10,103803.47
2025-11-11,Apple iPad Air,2,70595.89
2025-11-27,Apple iPhone 15,8,25184.04
2025-11-03,LG Smart Refrigerator,1,130193.01
2025-11-23,Whirlpool Washing Machine,2,99606.00
2025-11-26,LG Air Conditioner,9,14811.33
2025-11-10,LG Air Conditioner,5,51370.80
2025-11-15,LG Smart Refrigerator,10,107659.41
2025-11-06,Canon DSLR Camera,5,36291.38
2025-11-19,Sony Noise-Cancelling Headphones,5,104243.78
2025-11-10,Apple iPhone 15,7,49163.44
2025-11-28,HP Pavilion Laptop,7,21316.73
2025-11-04,Samsung 55-inch LED TV,4,124140.80
2025-11-21,Samsung 55-inch LED TV,5,63801.31
2025-11-05,HP Pavilion Laptop,4,74616.88
2025-11-29,Apple iPad Air,1,50561.81
2025-11-29,Canon DSLR Camera,7,137331.44
2025-11-10,Bosch Dishwasher,2,129957.27
2025-11-18,Bosch Dishwasher,1,14498.41
2025-11-02,Bosch Dishwasher,6,19554.71
2025-11-03,Haier Deep Freezer,5,31332.24
2025-11-06,Apple iPhone 15,8,96947.46
2025-11-28,OnePlus Nord CE 5G,9,46808.78
2025-11-24,Boat Bluetooth Speaker,9,39772.21
2025-11-24,Sony Noise-Cancelling Headphones,8,23699.43
2025-11-16,Haier Deep Freezer,6,19973.77
2025-11-21,Apple iPhone 15,1,95902.32
2025-11-17,Samsung Galaxy Watch,6,66528.41
2025-11-13,Boat Bluetooth Speaker,6,140870.27
2025-11-14,OnePlus Nord CE 5G,6,93448.18
2025-11-02,Philips Air Purifier,2,66559.46
2025-11-29,Samsung 55-inch LED TV,6,111895.35
2025-11-25,OnePlus Nord CE 5G,9,135486.45
2025-11-21,Bajaj Mixer Grinder,7,56357.85
2025-11-16,Dell Inspiron Laptop,7,43230.25
2025-11-05,Bosch Dishwasher,5,137370.73
2025-11-12,Dell Inspiron Laptop,6,119245.53
2025-11-30,Dell Inspiron Laptop,2,19806.95
2025-11-11,Whirlpool Washing Machine,7,145696.29
2025-11-02,Apple iPhone 15,6,10518.09
2025-11-02,Boat Bluetooth Speaker,2,105639.08
2025-11-24,OnePlus Nord CE 5G,5,97897.03
2025-11-25,Panasonic Microwave Oven,9,86159.89
2025-11-11,Canon DSLR Camera,9,29318.44
2025-11-20,Panasonic Microwave Oven,2,113243.71
2025-11-13,HP Pavilion Laptop,8,35718.02
2025-11-10,Samsung Galaxy Watch,10,38054.40
2025-11-20,Bajaj Mixer Grinder,6,137497.04
2025-11-06,Panasonic Microwave Oven,1,37308.34
2025-11-20,Sony Noise-Cancelling Headphones,3,96791.67
2025-11-23,Apple iPad Air,1,33673.79
2025-11-01,Dell Inspiron Laptop,2,85655.59
2025-11-01,Apple iPhone 15,1,115763.55
