Date,Product,Quantity,Price
2025-11-13,Widget E,6,383.00
2025-11-21,Widget E,1,383.00
2025-11-02,Widget C,4,203.00
2025-11-27,Widget A,1,458.00
2025-11-08,Widget E,2,383.00
2025-11-18,Widget C,9,203.00
2025-11-14,Widget D,10,427.00
2025-11-10,Widget D,8,427.00
2025-11-25,Widget F,6,313.00
2025-11-02,Widget A,1,458.00
2025-11-22,Widget F,10,313.00
2025-11-07,Widget E,2,383.00
2025-11-10,Widget F,6,313.00
2025-11-30,Widget D,6,427.00
2025-11-05,Widget E,9,383.00
2025-11-10,Widget E,7,383.00
2025-11-25,Widget E,7,383.00
2025-11-27,Widget B,2,338.00
2025-11-05,Widget D,3,427.00
2025-11-17,Widget C,4,203.00
2025-11-14,Widget B,5,338.00
2025-11-25,Widget C,10,203.00
2025-11-23,Widget C,9,203.00
2025-11-16,Widget D,9,427.00
2025-11-15,Widget A,1,458.00
2025-11-06,Widget A,3,458.00
2025-11-09,Widget A,1,458.00
2025-11-21,Widget E,7,383.00
2025-11-29,Widget B,1,338.00
2025-11-17,Widget F,8,313.00
2025-11-23,Widget E,5,383.00
2025-11-16,Widget F,4,313.00
2025-11-09,Widget E,9,383.00
2025-11-06,Widget C,7,203.00
2025-11-06,Widget A,5,458.00
2025-11-04,Widget A,8,458.00
2025-11-08,Widget A,10,458.00
2025-11-30,Widget E,7,383.00
2025-11-18,Widget A,4,458.00
2025-11-09,Widget D,9,427.00
2025-11-01,Widget F,2,313.00
2025-11-24,Widget A,9,458.00
2025-11-11,Widget F,6,313.00
2025-11-25,Widget D,1,427.00
2025-11-17,Widget E,8,383.00
2025-11-05,Widget F,6,313.00
2025-11-11,Widget A,1,458.00
2025-11-05,Widget C,3,203.00
2025-11-29,Widget C,5,203.00
2025-11-24,Widget E,6,383.00
2025-11-26,Widget F,9,313.00
2025-11-14,Widget E,8,383.00
2025-11-04,Widget D,3,427.00
2025-11-29,Widget A,7,458.00
2025-11-09,Widget E,8,383.00
2025-11-24,Widget A,6,458.00
2025-11-30,Widget C,3,203.00
2025-11-18,Widget C,8,203.00
2025-11-09,Widget F,8,313.00
2025-11-01,Widget A,6,458.00
2025-11-06,Widget F,9,313.00
2025-11-06,Widget A,8,458.00
2025-11-20,Widget C,9,203.00
2025-11-25,Widget C,1,203.00
2025-11-24,Widget F,2,313.00
2025-11-18,Widget E,3,383.00
2025-11-24,Widget C,3,203.00
2025-11-08,Widget D,1,427.00
2025-11-27,Widget B,2,338.00
2025-11-03,Widget F,5,313.00
2025-11-24,Widget C,4,203.00
2025-11-09,Widget E,3,383.00
2025-11-03,Widget F,9,313.00
2025-11-16,Widget E,4,383.00
2025-11-14,Widget D,8,427.00
2025-11-28,Widget B,5,338.00
2025-11-22,Widget D,4,427.00
2025-11-27,Widget F,2,313.00
2025-11-09,Widget E,1,383.00
2025-11-24,Widget C,6,203.00
2025-11-10,Widget F,4,313.00
2025-11-20,Widget A,6,458.00
2025-11-15,Widget B,7,338.00
2025-11-01,Widget B,7,338.00
2025-11-06,Widget A,8,458.00
2025-11-13,Widget A,7,458.00
2025-11-13,Widget E,8,383.00
2025-11-09,Widget E,1,383.00
2025-11-16,Widget E,7,383.00
2025-11-14,Widget E,6,383.00
2025-11-28,Widget C,7,203.00
2025-11-30,Widget B,4,338.00
2025-11-07,Widget B,1,338.00
2025-11-03,Widget E,7,383.00
2025-11-18,Widget E,9,383.00
2025-11-24,Widget C,10,203.00
2025-11-17,Widget E,7,383.00
2025-11-24,Widget B,8,338.00
2025-11-13,Widget F,7,313.00
2025-11-12,Widget F,9,313.00
2025-11-27,Widget C,2,203.00
2025-11-03,Widget D,6,427.00
2025-11-28,Widget E,9,383.00
2025-11-04,Widget C,9,203.00
2025-11-19,Widget F,1,313.00
2025-11-09,Widget D,8,427.00
2025-11-27,Widget E,10,383.00
2025-11-24,Widget A,5,458.00
2025-11-12,Widget C,8,203.00
2025-11-20,Widget D,1,427.00
2025-11-04,Widget F,2,313.00
2025-11-14,Widget F,4,313.00
2025-11-03,Widget A,3,458.00
2025-11-03,Widget F,6,313.00
2025-11-01,Widget A,5,458.00
2025-11-27,Widget B,1,338.00
2025-11-02,Widget C,1,203.00
2025-11-05,Widget C,9,203.00
2025-11-20,Widget B,10,338.00
2025-11-09,Widget F,1,313.00
2025-11-12,Widget C,4,203.00
2025-11-12,Widget F,3,313.00
2025-11-02,Widget C,5,203.00
2025-11-09,Widget C,4,203.00
2025-11-01,Widget B,9,338.00
2025-11-22,Widget B,3,338.00
2025-11-07,Widget C,5,203.00
2025-11-20,Widget A,9,458.00
2025-11-23,Widget B,6,338.00
2025-11-14,Widget F,3,313.00
2025-11-07,Widget C,10,203.00
2025-11-23,Widget E,3,383.00
2025-11-30,Widget A,8,458.00
2025-11-29,Widget D,6,427.00
2025-11-20,Widget B,9,338.00
2025-11-10,Widget C,6,203.00
2025-11-18,Widget D,3,427.00
2025-11-08,Widget A,1,458.00
2025-11-15,Widget D,4,427.00
2025-11-14,Widget D,9,427.00
2025-11-07,Widget E,8,383.00
2025-11-13,Widget D,5,427.00
2025-11-22,Widget D,10,427.00
2025-11-04,Widget A,2,458.00
2025-11-01,Widget C,10,203.00
2025-11-09,Widget B,3,338.00
2025-11-05,Widget B,3,338.00
2025-11-10,Widget E,5,383.00
2025-11-18,Widget C,2,203.00
2025-11-18,Widget F,6,313.00
2025-11-11,Widget D,5,427.00
2025-11-29,Widget C,6,203.00
2025-11-15,Widget A,2,458.00
2025-11-24,Widget D,10,427.00
2025-11-15,Widget C,6,203.00
2025-11-28,Widget B,2,338.00
2025-11-17,Widget C,4,203.00
2025-11-19,Widget A,7,458.00
2025-11-25,Widget C,1,203.00
2025-11-03,Widget F,7,313.00
2025-11-05,Widget C,2,203.00
2025-11-22,Widget D,3,427.00
2025-11-07,Widget B,7,338.00
2025-11-05,Widget E,2,383.00
